emp_no,first_name,last_name,birth_date,from_date,to_date,title
80850,Koldo,Luit,2065-02-01,1995-04-16,1999-01-01,Engineer
80889,Shigeo,Linnainmaa,2065-01-07,1985-07-30,1999-01-01,Senior Engineer
80948,Harjit,Bardell,2065-01-27,1991-05-24,1999-01-01,Senior Engineer
81105,Jaewon,Boissier,2065-01-14,1992-05-24,1999-01-01,Senior Engineer
81545,Larisa,Kornyak,2065-01-13,2000-02-07,1999-01-01,Technique Leader
81644,Divine,Ghandeharizadeh,2065-01-05,1997-11-28,1999-01-01,Staff
81995,Sreekrishna,Brender,2065-01-10,1990-03-22,1999-01-01,Engineer
82069,Yechezkel,Perfilyeva,2065-01-20,1994-11-03,1999-01-01,Engineer
82098,Poornachandra,Wilharm,2065-01-25,1991-04-20,1999-01-01,Engineer
82351,Stevo,Thambidurai,2065-01-26,1989-10-27,1999-01-01,Senior Staff
82511,Uwe,Koblick,2065-01-27,1998-04-04,1999-01-01,Engineer
82919,Shigeu,Claffy,2065-01-05,1998-12-19,1999-01-01,Engineer
82928,Alselm,Rikino,2065-01-27,1990-11-16,1999-01-01,Engineer
83280,Francesca,Ellozy,2065-01-07,1999-08-08,1999-01-01,Senior Engineer
83289,Shigeichiro,Engelmann,2065-01-09,1994-01-09,1999-01-01,Engineer
83509,Breannda,Collavizza,2065-01-04,1989-10-12,1999-01-01,Senior Engineer
83544,Leaf,Baak,2065-01-18,1994-09-05,1999-01-01,Senior Staff
83714,Ohad,Kilgore,2065-01-27,2000-10-10,1999-01-01,Senior Engineer
83805,Manohar,Harllee,2065-01-23,1987-03-11,1999-01-01,Senior Engineer
83941,Zsolt,Hagimont,2065-01-11,1996-10-08,1999-01-01,Senior Staff
84029,Babette,Eugenio,2065-01-27,1997-09-21,1999-01-01,Staff
84179,Shuichi,Nanard,2065-01-25,1989-03-14,1999-01-01,Senior Engineer
84236,Eberhardt,Barriga,2065-01-18,1987-06-04,1999-01-01,Senior Staff
84315,Kristina,Baumann,2065-01-23,1996-09-26,1999-01-01,Assistant Engineer
84451,Shiv,Aumann,2065-01-20,1998-06-14,1999-01-01,Senior Engineer
84508,Tommaso,Vidya,2065-01-17,1998-05-02,1999-01-01,Engineer
84840,Sverrir,Neimat,2065-01-14,1996-11-03,1999-01-01,Staff
84922,Parke,Unno,2065-01-22,1996-07-01,1999-01-01,Engineer
84942,Shin,Fujisaki,2065-01-15,1988-02-23,1999-01-01,Technique Leader
85216,Ferdinand,Rosiles,2065-01-18,1997-07-08,1999-01-01,Senior Staff
85288,Younwoo,Luders,2065-01-06,1998-12-08,1999-01-01,Engineer
85414,Chiradeep,Callaway,2065-01-14,1999-07-30,1999-01-01,Staff
85445,Yongdong,Pollock,2065-01-09,1998-03-17,1999-01-01,Staff
85702,Udi,Merks,2065-01-04,1997-08-15,1999-01-01,Engineer
85874,Pasqua,Taubman,2065-01-30,1986-06-23,1999-01-01,Senior Staff
86213,Kristine,Clemencon,2065-01-28,1993-06-01,1999-01-01,Senior Staff
86354,Ronghao,Segond,2065-01-27,1993-09-13,1999-01-01,Senior Engineer
86422,Jaewon,Thummel,2065-02-01,1985-09-14,1999-01-01,Staff
86546,Oldrich,Woycyznski,2065-01-09,1985-05-15,1999-01-01,Senior Engineer
86655,Zhenhua,Lorys,2065-01-01,1995-08-21,1999-01-01,Engineer
86672,JoAnne,Anido,2065-01-15,1995-09-15,1999-01-01,Staff
87129,Keung,Neiman,2065-01-16,1997-04-13,1999-01-01,Staff
87353,Quingbo,Coombs,2065-01-07,1999-01-17,1999-01-01,Senior Engineer
87714,Khun,Janetzko,2065-01-16,1989-09-13,1999-01-01,Engineer
87729,Yongmin,Roccetti,2065-01-24,1986-12-10,1999-01-01,Senior Staff
87783,Conor,Thorensen,2065-01-26,1988-02-24,1999-01-01,Senior Engineer
88103,Goo,Bresenham,2065-01-09,1999-01-31,1999-01-01,Senior Staff
88411,Lena,Cannane,2065-01-31,2000-01-28,1999-01-01,Engineer
88422,Jungsoon,Birsak,2065-01-28,1985-04-03,1999-01-01,Technique Leader
88647,Vasiliy,Ratnaker,2065-01-10,1995-08-09,1999-01-01,Engineer
88958,Vojin,Coombs,2065-01-22,1995-07-23,1999-01-01,Staff
88965,Mang,Hedayat,2065-01-20,1995-05-22,1999-01-01,Engineer
89048,Otmar,Birjandi,2065-01-24,1985-03-23,1999-01-01,Engineer
89090,Tetsushi,Theuretzbacher,2065-01-26,1990-02-01,1999-01-01,Senior Staff
89161,Conal,Yetto,2065-01-07,1991-01-12,1999-01-01,Staff
89207,Along,Erol,2065-01-15,1992-10-16,1999-01-01,Senior Staff
89346,Mansur,Comyn,2065-01-13,1999-08-31,1999-01-01,Engineer
89590,Guther,Rothenberg,2065-01-27,1991-08-08,1999-01-01,Senior Staff
89664,Pranjal,Rossi,2065-01-20,1998-07-07,1999-01-01,Staff
89680,Aiman,Mawatari,2065-01-27,1988-05-01,1999-01-01,Engineer
89806,Xiadong,Shinomoto,2065-01-27,1997-05-24,1999-01-01,Engineer
89922,Alexius,Ibel,2065-01-26,1988-04-24,1999-01-01,Engineer
89941,Arnould,Weedman,2065-01-23,1989-07-28,1999-01-01,Senior Staff
90077,Vivian,Guerreiro,2065-01-24,1991-07-08,1999-01-01,Engineer
90084,Renny,Bale,2065-01-01,1989-11-22,1999-01-01,Senior Engineer
90211,Bader,Denis,2065-01-15,1997-10-06,1999-01-01,Engineer
90292,Koichi,Assaf,2065-01-09,1990-05-26,1999-01-01,Engineer
90518,Fumiko,Chepyzhov,2065-01-24,1988-01-28,1999-01-01,Senior Staff
90614,Yonghoan,Trogemann,2065-01-29,1988-09-23,1999-01-01,Engineer
90692,Rajmohan,DasSarma,2065-01-03,1985-09-14,1999-01-01,Senior Staff
91172,Kazuhisa,Melter,2065-01-19,1987-07-16,1999-01-01,Staff
91182,Lucien,Schwartzburd,2065-01-04,1988-08-25,1999-01-01,Engineer
91229,Yahiko,Hebden,2065-01-01,1996-10-03,1999-01-01,Senior Engineer
91256,Gunilla,Milicic,2065-01-13,1998-01-09,1999-01-01,Staff
91333,Lobel,Stafford,2065-01-27,1998-11-29,1999-01-01,Staff
91415,Jamaludin,Nilsson,2065-01-04,1987-01-15,1999-01-01,Staff
91648,Dmitry,Msuda,2065-01-29,1988-10-22,1999-01-01,Staff
92438,Aria,Kilgore,2065-01-04,1992-04-11,1999-01-01,Senior Engineer
92454,Visit,McFarlan,2065-01-24,1987-10-22,1999-01-01,Senior Engineer
92577,Zhanqiu,Farrow,2065-01-06,1999-01-10,1999-01-01,Assistant Engineer
92598,Ranga,Merro,2065-01-18,1996-05-11,1999-01-01,Assistant Engineer
92685,Mang,Atchley,2065-01-26,1995-06-07,1999-01-01,Senior Staff
92841,Claude,Candan,2065-01-22,1993-08-04,1999-01-01,Senior Staff
92846,Anyuan,Kropatsch,2065-01-11,1986-09-05,1999-01-01,Senior Staff
92920,Huei,Hutter,2065-01-20,1993-01-28,1999-01-01,Senior Engineer
93040,Jaques,Kabayashi,2065-01-19,1992-03-13,1999-01-01,Senior Engineer
93220,Richara,Walston,2065-01-11,1996-08-27,1999-01-01,Senior Engineer
93278,Magdalena,Penn,2065-02-01,1997-01-04,1999-01-01,Senior Engineer
93549,Arie,Coullard,2065-02-01,2000-03-28,1999-01-01,Senior Staff
93600,Kristina,Neimat,2065-01-13,1988-04-18,1999-01-01,Technique Leader
94331,Ramzi,Cronau,2065-01-26,1999-09-03,1999-01-01,Technique Leader
94416,Aran,Cesareni,2065-01-01,2001-11-20,1999-01-01,Senior Staff
94761,Hitofumi,Zaccaria,2065-01-27,1988-11-22,1999-01-01,Engineer
94944,Heping,Matheson,2065-01-13,1988-06-24,1999-01-01,Engineer
95181,Yishai,Cappelli,2065-01-28,1997-01-30,1999-01-01,Staff
95286,Kristin,Guerreiro,2065-01-18,1989-08-23,1999-01-01,Engineer
95314,Rasiah,Koblick,2065-01-22,1991-08-21,1999-01-01,Staff
95406,Alair,Lyonns,2065-01-08,1997-07-12,1999-01-01,Engineer
95416,Gianluca,Ramaiah,2065-01-13,1993-11-29,1999-01-01,Engineer
95509,Kristinn,Loncour,2065-01-11,1995-02-08,1999-01-01,Engineer
95920,Nobuyoshi,Hegner,2065-01-19,1994-09-07,1999-01-01,Senior Staff
96571,Kokou,Garrabrants,2065-01-13,1997-11-05,1999-01-01,Senior Engineer
96579,Mohan,Tasistro,2065-01-18,1996-02-10,1999-01-01,Engineer
96767,Arumugam,Vecchio,2065-01-07,1985-08-14,1999-01-01,Engineer
97018,Jeanna,Chinen,2065-01-09,1989-01-01,1999-01-01,Senior Engineer
97623,Haldon,Janetzko,2065-01-25,1990-09-11,1999-01-01,Senior Staff
97661,Avishai,Hegner,2065-01-31,1993-05-08,1999-01-01,Senior Staff
98288,Sumali,Huttel,2065-01-12,1989-09-12,1999-01-01,Senior Staff
98306,Ziya,Kadhim,2065-01-16,1999-06-24,1999-01-01,Senior Engineer
98639,Florina,Assaf,2065-01-29,1996-05-18,1999-01-01,Staff
99057,Shugo,Reeken,2065-01-30,1999-06-21,1999-01-01,Staff
99373,Xiaobin,Christianini,2065-01-13,1985-12-25,1999-01-01,Senior Staff
99377,Carrsten,Francisci,2065-01-18,1991-06-16,1999-01-01,Senior Engineer
99590,Dhritiman,Anily,2065-01-24,1998-12-16,1999-01-01,Staff
99654,Mahendra,Motley,2065-01-30,1985-09-28,1999-01-01,Senior Staff
100865,Hisao,Peral,2065-01-19,1990-10-03,1999-01-01,Senior Engineer
100916,Heejo,Aamodt,2065-01-18,1992-04-22,1999-01-01,Senior Engineer
101487,Abdelaziz,Sury,2065-01-14,1991-01-31,1999-01-01,Staff
101647,Mori,Homond,2065-01-22,1994-05-10,1999-01-01,Senior Staff
101902,Mantis,Millington,2065-01-14,1991-03-18,1999-01-01,Staff
102620,Adin,Templeman,2065-01-03,1999-08-12,1999-01-01,Engineer
103196,Djenana,Albarhamtoshy,2065-01-16,1988-07-16,1999-01-01,Senior Staff
103310,Visit,Swen,2065-01-07,1995-10-02,1999-01-01,Senior Staff
103316,Susanne,Peternell,2065-01-03,1994-07-27,1999-01-01,Senior Engineer
103342,Beshir,Hellwagner,2065-01-03,1998-02-03,1999-01-01,Engineer
103756,Heping,Halloran,2065-01-31,1992-04-08,1999-01-01,Assistant Engineer
104133,Pranjal,Zyda,2065-01-31,1991-07-03,1999-01-01,Staff
104845,Werner,Lodder,2065-01-29,1992-06-17,1999-01-01,Staff
104988,Parviz,Litzler,2065-01-07,1992-08-08,1999-01-01,Senior Engineer
105342,Kwun,Reeker,2065-01-01,1999-07-29,1999-01-01,Technique Leader
105356,Diederik,Matzov,2065-01-29,1995-03-08,1999-01-01,Engineer
105432,Mohamadou,Stafford,2065-01-08,1995-09-12,1999-01-01,Senior Engineer
105520,Haldun,Lienhardt,2065-01-01,1987-01-29,1999-01-01,Senior Staff
105731,Sachem,Cromarty,2065-01-15,1990-08-20,1999-01-01,Assistant Engineer
106096,Naftali,Schurmann,2065-01-14,1992-12-02,1999-01-01,Engineer
106242,Nevio,Thisen,2065-02-01,1988-03-25,1999-01-01,Senior Staff
106695,Lijie,Garrabrants,2065-01-31,1988-10-26,1999-01-01,Senior Staff
106710,Babette,Anandan,2065-01-31,1986-11-22,1999-01-01,Senior Staff
107486,Siamak,Luiz,2065-01-23,1987-02-11,1999-01-01,Senior Engineer
107737,Fabrizio,Chleq,2065-01-23,1999-07-31,1999-01-01,Senior Engineer
107792,Shahab,Crooks,2065-01-13,1992-03-18,1999-01-01,Senior Staff
107828,Ramya,Walston,2065-01-26,1989-02-03,1999-01-01,Staff
108091,Hisao,Ghemri,2065-01-09,1985-11-14,1999-01-01,Staff
108198,Randi,Samarati,2065-01-24,1992-10-20,1999-01-01,Senior Staff
108316,Shai,Stellhorn,2065-01-02,1992-05-21,1999-01-01,Senior Engineer
108988,Oksana,Baek,2065-01-19,1989-07-20,1999-01-01,Senior Staff
109062,Jamaludin,Kandlur,2065-02-01,1992-06-19,1999-01-01,Senior Engineer
109211,Gor,Delgrande,2065-01-11,2002-06-18,1999-01-01,Senior Engineer
109252,Moty,Winter,2065-01-15,1991-04-28,1999-01-01,Technique Leader
109278,Bangqing,Schach,2065-01-21,1988-03-22,1999-01-01,Senior Staff
109552,Menkae,Etalle,2065-01-31,1997-05-21,1999-01-01,Assistant Engineer
109598,Stamatina,Auyong,2065-02-01,1988-07-05,1999-01-01,Senior Staff
109620,Mani,Cannata,2065-01-02,1989-06-21,1999-01-01,Staff
109703,Arco,Walston,2065-01-17,1999-08-16,1999-01-01,Engineer
109741,Hatem,Fadgyas,2065-01-11,1991-11-13,1999-01-01,Senior Engineer
109953,Godehard,Chorvat,2065-01-26,1988-04-10,1999-01-01,Senior Staff
200267,Chuanti,Luff,2065-01-08,1994-09-21,1999-01-01,Senior Staff
200312,Akemi,Fujisaki,2065-01-27,2001-11-13,1999-01-01,Senior Engineer
200363,Kirk,Quaggetto,2065-01-10,1987-06-30,1999-01-01,Senior Engineer
200735,Dinah,Denos,2065-01-09,1992-09-21,1999-01-01,Staff
200789,Susumu,Camurati,2065-01-14,1991-12-15,1999-01-01,Senior Staff
201229,Alejandra,Khasidashvili,2065-01-03,1994-07-30,1999-01-01,Staff
201708,Anneli,Perl,2065-01-15,1992-09-08,1999-01-01,Staff
201709,Fan,Kakkad,2065-01-01,1988-02-25,1999-01-01,Staff
201739,Genta,Terekhov,2065-01-16,1998-07-21,1999-01-01,Assistant Engineer
201801,Waiman,Genin,2065-01-12,1988-10-30,1999-01-01,Senior Engineer
201915,Sudharsan,DeMori,2065-01-02,1992-03-30,1999-01-01,Senior Engineer
202291,Ortrun,Schmiedel,2065-01-16,1997-07-18,1999-01-01,Engineer
202403,Gully,Perko,2065-01-09,1999-07-07,1999-01-01,Engineer
202414,Zvonko,Murthy,2065-01-13,1992-01-07,1999-01-01,Senior Staff
202552,Morris,Saoudi,2065-01-05,1991-11-22,1999-01-01,Engineer
202826,Kerhong,Matzke,2065-01-19,1986-11-14,1999-01-01,Engineer
202882,Isaac,Koshino,2065-01-25,1995-09-28,1999-01-01,Senior Engineer
202950,Giordano,Pietrzykowski,2065-01-17,1987-03-26,1999-01-01,Senior Staff
203474,Hugh,Jonsson,2065-01-03,1991-07-06,1999-01-01,Senior Staff
203495,Zongyan,Gips,2065-01-02,1997-05-31,1999-01-01,Technique Leader
203599,Ewing,DiGiano,2065-01-21,2000-02-01,1999-01-01,Technique Leader
203720,Sasan,Thimonier,2065-01-30,1996-08-21,1999-01-01,Senior Staff
203946,Yefim,Marwedel,2065-01-23,1993-03-30,1999-01-01,Senior Staff
204117,Jessie,Nooteboom,2065-01-10,2000-12-13,1999-01-01,Staff
204133,Susuma,Bergere,2065-01-22,1996-02-25,1999-01-01,Senior Staff
204246,Arve,Worfolk,2065-01-09,1985-04-01,1999-01-01,Senior Staff
204425,Gretta,Huttel,2065-01-03,1990-10-08,1999-01-01,Senior Engineer
204470,Hein,Lichtner,2065-01-22,1998-05-02,1999-01-01,Senior Staff
204471,Franziska,Maginnis,2065-01-27,1986-02-17,1999-01-01,Senior Engineer
204764,Susanne,Mandelberg,2065-01-22,1990-11-02,1999-01-01,Engineer
205018,Yahiko,Awdeh,2065-01-26,1998-08-05,1999-01-01,Engineer
205085,Moni,Kornyak,2065-01-23,1991-09-26,1999-01-01,Technique Leader
205174,Leszek,Spinelli,2065-01-05,1998-12-10,1999-01-01,Staff
205500,Mary,Setiz,2065-01-04,1989-01-13,1999-01-01,Senior Engineer
205627,Stabislas,Broder,2065-01-21,1996-07-16,1999-01-01,Engineer
205660,Kien,Barreiro,2065-01-27,2000-10-24,1999-01-01,Staff
205699,Youjian,Yetto,2065-01-31,1994-12-07,1999-01-01,Senior Staff
205789,Limsoon,Skafidas,2065-01-31,1999-08-10,1999-01-01,Senior Staff
205863,Aiichiro,Kusalik,2065-01-06,1990-10-04,1999-01-01,Senior Engineer
206748,Yucai,Fabrizio,2065-01-07,1999-10-06,1999-01-01,Staff
206836,Guadalupe,Pfau,2065-01-12,1993-03-22,1999-01-01,Staff
206966,Tzu,Sichman,2065-01-21,1987-11-17,1999-01-01,Senior Engineer
207021,Jacqueline,Akaboshi,2065-01-20,1997-12-06,1999-01-01,Engineer
207068,Zhiguo,Ariola,2065-01-13,1994-09-07,1999-01-01,Senior Staff
207204,Kellie,Schrooten,2065-01-25,1991-01-17,1999-01-01,Assistant Engineer
207401,Shuji,Barbanera,2065-01-04,1987-08-10,1999-01-01,Senior Staff
207551,Baziley,Falck,2065-01-15,1995-02-18,1999-01-01,Assistant Engineer
207779,Chinya,Kamble,2065-01-16,1992-05-31,1999-01-01,Senior Staff
207980,Remko,Vieth,2065-01-07,1990-11-22,1999-01-01,Senior Staff
208147,Manu,Rothenberg,2065-01-09,1988-12-06,1999-01-01,Engineer
208330,Shen,Flanders,2065-01-11,1989-07-03,1999-01-01,Staff
208639,Larisa,Lukaszewicz,2065-01-27,1996-10-30,1999-01-01,Senior Staff
208653,Phillip,Schade,2065-01-23,1989-03-03,1999-01-01,Engineer
208784,Pranjal,Juneja,2065-01-30,1985-03-21,1999-01-01,Senior Engineer
209101,Xinyu,Edelhoff,2065-01-05,1997-10-26,1999-01-01,Senior Engineer
209443,Krassimir,Garnier,2065-01-19,1998-01-26,1999-01-01,Senior Staff
209565,Dante,Covnot,2065-01-09,1989-05-28,1999-01-01,Senior Staff
209712,Nimmagadda,Baak,2065-01-17,1987-10-30,1999-01-01,Assistant Engineer
210017,Shalesh,Lovengreen,2065-01-28,1990-09-29,1999-01-01,Senior Staff
210292,Lihong,Zeilberger,2065-01-18,1996-04-28,1999-01-01,Staff
210449,Gino,Lagarias,2065-01-19,1997-06-22,1999-01-01,Engineer
210752,Saniya,Stenning,2065-01-25,1986-12-10,1999-01-01,Senior Staff
210786,Werner,Ranze,2065-01-31,1998-06-05,1999-01-01,Staff
211858,Domenico,Ratnaker,2065-01-08,1985-03-24,1999-01-01,Engineer
211879,Gao,Ranze,2065-01-12,1994-11-24,1999-01-01,Engineer
211967,Anwar,Bain,2065-01-07,1989-01-22,1999-01-01,Engineer
212093,Leni,Henders,2065-01-11,1993-11-19,1999-01-01,Senior Staff
212154,Sailaja,Holburn,2065-01-17,1991-03-04,1999-01-01,Senior Staff
212361,Claudi,Stanfel,2065-01-16,1996-01-07,1999-01-01,Engineer
213016,Yongmao,Fontan,2065-01-22,1993-07-26,1999-01-01,Engineer
213140,Tru,Danecki,2065-01-10,1997-03-31,1999-01-01,Staff
213384,Pranas,Narwekar,2065-01-04,1985-09-26,1999-01-01,Engineer
213447,Armond,Perly,2065-02-01,1989-09-14,1999-01-01,Engineer
214215,Xiaoqiang,Cardazo,2065-01-25,1993-05-28,1999-01-01,Senior Staff
214391,Rayond,Klassen,2065-01-15,1993-09-11,1999-01-01,Staff
214427,Peer,Molberg,2065-01-29,1996-11-17,1999-01-01,Engineer
214539,Ingmar,Kohling,2065-01-27,1995-04-25,1999-01-01,Engineer
214634,Shirish,Vickson,2065-01-12,1989-10-24,1999-01-01,Engineer
214789,Arfst,Chepyzhov,2065-01-28,1989-02-06,1999-01-01,Engineer
214866,Gopalakrishnan,Angel,2065-02-01,1997-07-05,1999-01-01,Engineer
214995,Dinkar,Hoppenstand,2065-01-12,1994-05-04,1999-01-01,Engineer
215419,Flemming,Kroha,2065-01-16,1995-01-23,1999-01-01,Staff
215629,Munehiro,Manders,2065-01-15,1987-05-18,1999-01-01,Staff
215746,Sven,Speer,2065-01-08,1999-07-08,1999-01-01,Staff
215843,Pramod,Loncour,2065-01-30,1987-03-31,1999-01-01,Staff
216054,Sahrah,Angiulli,2065-01-24,1986-07-31,1999-01-01,Senior Staff
216342,Aiichiro,Cromarty,2065-01-22,1995-06-10,1999-01-01,Senior Engineer
216375,Byong,Gustavson,2065-01-16,1985-03-12,1999-01-01,Senior Engineer
216502,Xiaocheng,Suermann,2065-01-26,1997-12-15,1999-01-01,Engineer
216573,Ashish,Vidya,2065-01-29,1989-06-16,1999-01-01,Engineer
216921,Lena,Lenart,2065-01-22,1990-12-25,1999-01-01,Staff
217026,Otmar,Engberts,2065-01-11,1993-08-16,1999-01-01,Senior Staff
217080,Masami,Puoti,2065-01-12,2000-01-21,1999-01-01,Senior Engineer
217272,Yuchang,Eldridge,2065-01-21,1986-08-01,1999-01-01,Senior Staff
217286,Yannik,Spelt,2065-01-05,1992-09-22,1999-01-01,Technique Leader
217320,Abdelwaheb,Denis,2065-01-10,1993-09-10,1999-01-01,Engineer
217363,Horward,Marzano,2065-01-14,1996-04-11,1999-01-01,Staff
217387,Jianhao,Molenaar,2065-01-21,1987-10-22,1999-01-01,Engineer
217551,Panayotis,Lukaszewicz,2065-01-02,1989-06-06,1999-01-01,Senior Engineer
217800,Shay,Servieres,2065-02-01,1998-08-06,1999-01-01,Senior Staff
218022,Mokhtar,Poupard,2065-01-26,1992-02-02,1999-01-01,Technique Leader
218100,Jiong,Garnham,2065-01-24,1990-01-02,1999-01-01,Staff
218831,Unal,DuBourdieux,2065-01-16,1996-03-13,1999-01-01,Engineer
219035,Kristine,Bierman,2065-01-18,1988-05-13,1999-01-01,Technique Leader
219047,Aemilian,Kusalik,2065-01-30,1987-05-27,1999-01-01,Engineer
219052,Marsal,Acton,2065-01-06,1995-08-02,1999-01-01,Staff
219417,Subhrajyoti,Denna,2065-01-29,1996-07-25,1999-01-01,Staff
219497,Moie,Zastre,2065-01-22,1991-10-11,1999-01-01,Technique Leader
219967,Susanna,Reeken,2065-01-16,1998-03-16,1999-01-01,Senior Staff
220029,Demos,Asser,2065-01-17,1985-11-04,1999-01-01,Senior Engineer
220131,Reinhard,Slaats,2065-01-09,1994-06-08,1999-01-01,Engineer
220418,Poorav,Laventhal,2065-01-23,1997-08-16,1999-01-01,Staff
220528,Sibyl,Rabehasaina,2065-01-06,1998-02-23,1999-01-01,Senior Staff
220582,Poornachandra,Zielinski,2065-01-08,1996-02-13,1999-01-01,Staff
220611,Yuping,Babb,2065-01-23,1995-01-31,1999-01-01,Staff
220625,Shigenori,Deville,2065-01-25,1992-12-24,1999-01-01,Technique Leader
220699,Nahid,Gyimothy,2065-01-07,1995-08-18,1999-01-01,Staff
220799,Perla,Orlowska,2065-01-17,1998-10-13,1999-01-01,Senior Engineer
221126,Tesuya,dAstous,2065-01-23,1988-11-29,1999-01-01,Engineer
221367,Saddek,Farris,2065-01-13,1990-11-06,1999-01-01,Senior Staff
221369,Abdulah,Pocchiola,2065-01-28,1996-08-28,1999-01-01,Engineer
221435,Djenana,Marrevee,2065-01-06,1994-02-06,1999-01-01,Engineer
221973,Sangeeta,Kalefeld,2065-01-17,1990-06-06,1999-01-01,Senior Staff
222206,Stein,Uludag,2065-01-21,1988-01-30,1999-01-01,Senior Staff
222311,Miyeon,Billingsley,2065-01-20,1992-12-05,1999-01-01,Senior Engineer
222319,Matt,Chvatal,2065-01-20,1994-11-09,1999-01-01,Senior Engineer
222354,Valdiodio,Schlumberger,2065-01-15,1993-08-07,1999-01-01,Engineer
222616,Badri,Schapire,2065-02-01,1998-01-19,1999-01-01,Assistant Engineer
222770,Kazuhiko,Kushner,2065-01-22,1995-08-01,1999-01-01,Senior Engineer
222878,Annemarie,Zallocco,2065-01-10,1996-12-01,1999-01-01,Senior Engineer
222926,Limsoon,Erol,2065-01-10,1997-12-31,1999-01-01,Senior Engineer
222952,Gopalakrishnan,Suermann,2065-01-28,1991-04-30,1999-01-01,Engineer
222998,Leaf,Awdeh,2065-01-07,1992-10-02,1999-01-01,Staff
223593,Hidefumi,Moehrke,2065-01-20,1998-03-04,1999-01-01,Staff
223595,Chiranjit,Dredge,2065-02-01,1999-09-05,1999-01-01,Technique Leader
224135,Annemarie,Bressoud,2065-01-02,1998-06-23,1999-01-01,Engineer
224335,Perry,Chachaty,2065-01-29,1985-07-22,1999-01-01,Engineer
224390,TRUE,Shobatake,2065-01-24,1996-05-17,1999-01-01,Senior Staff
224934,George,Miake,2065-01-05,1988-01-02,1999-01-01,Senior Staff
225438,Remmert,Quaggetto,2065-01-14,1992-04-28,1999-01-01,Staff
225601,Masasuke,Genin,2065-01-13,1994-06-25,1999-01-01,Assistant Engineer
225788,Ipke,Kieras,2065-01-08,1995-12-18,1999-01-01,Engineer
225867,Ramalingam,Remmele,2065-01-26,1999-09-03,1999-01-01,Senior Engineer
225964,Mooi,Cooman,2065-01-19,1989-06-07,1999-01-01,Engineer
226216,Giordano,Gini,2065-01-28,1993-08-14,1999-01-01,Technique Leader
226227,Herbert,Erva,2065-01-07,1986-09-06,1999-01-01,Engineer
227354,Gio,Murtha,2065-01-12,1986-11-11,1999-01-01,Engineer
227476,Macha,Schnabel,2065-01-11,1988-05-11,1999-01-01,Engineer
227681,Mikhail,Rousseau,2065-01-30,1998-11-30,1999-01-01,Staff
227899,Garnik,Luce,2065-01-23,1998-09-15,1999-01-01,Staff
227901,Francesca,Azuma,2065-01-26,1996-06-08,1999-01-01,Senior Staff
228098,IEEE,Kroll,2065-01-18,1998-02-17,1999-01-01,Engineer
228248,Yuriy,Plump,2065-01-09,1988-09-08,1999-01-01,Staff
228554,Bilhanan,Brendel,2065-01-03,1990-12-23,1999-01-01,Senior Staff
228766,Nahla,Smailagic,2065-01-11,1993-02-12,1999-01-01,Engineer
229098,Berry,Yurek,2065-01-08,1995-08-16,1999-01-01,Senior Staff
229220,Fabrizio,Lichtman,2065-01-21,1987-02-09,1999-01-01,Senior Engineer
229248,Harjit,Terekhov,2065-01-27,1995-10-19,1999-01-01,Staff
229386,Pohua,Tasistro,2065-01-03,1994-11-04,1999-01-01,Technique Leader
229391,Paloma,Henseler,2065-01-15,1991-06-11,1999-01-01,Engineer
229404,Gilbert,Kilgour,2065-01-11,1996-04-05,1999-01-01,Staff
229547,Moni,Schach,2065-01-03,1986-07-04,1999-01-01,Senior Staff
229727,Ewing,Millington,2065-01-23,1999-09-28,1999-01-01,Engineer
229981,Jamaludin,Fordan,2065-01-19,1992-02-06,1999-01-01,Engineer
230002,Tadahiro,Backhouse,2065-01-07,1991-10-02,1999-01-01,Engineer
230126,Bezalel,Radivojevic,2065-01-31,1988-07-02,1999-01-01,Senior Staff
230287,Renny,Alameldin,2065-01-14,1997-09-28,1999-01-01,Assistant Engineer
230354,Yinghua,Lorho,2065-01-31,1991-08-09,1999-01-01,Senior Staff
230498,Kolar,Puppo,2065-01-15,1990-04-25,1999-01-01,Senior Engineer
230579,Shahar,Negoita,2065-01-17,1994-03-19,1999-01-01,Senior Staff
230689,Dietrich,Crabtree,2065-01-14,1986-05-24,1999-01-01,Senior Staff
230865,Takushi,Brattka,2065-01-02,1999-06-03,1999-01-01,Staff
231069,Trygve,Siksek,2065-01-22,1995-11-09,1999-01-01,Staff
231459,Nectarios,Pramanik,2065-01-28,1999-11-18,1999-01-01,Assistant Engineer
231671,Chandrasekaran,Pearson,2065-01-07,1995-04-14,1999-01-01,Staff
231798,Goetz,Alvarado,2065-01-28,1988-12-25,1999-01-01,Engineer
232178,Etsuo,Anandan,2065-01-29,1989-12-13,1999-01-01,Senior Staff
232209,Nitsan,Rouquie,2065-01-11,1988-08-01,1999-01-01,Senior Engineer
232697,Barry,Ramsak,2065-01-23,1990-09-07,1999-01-01,Senior Engineer
232723,Tesuya,Bugrara,2065-01-14,1993-02-13,1999-01-01,Assistant Engineer
233114,Alselm,Gargeya,2065-01-20,1987-12-25,1999-01-01,Senior Engineer
233394,Khalid,Lenart,2065-01-06,1995-12-24,1999-01-01,Engineer
233397,Fay,Sundgren,2065-01-16,1990-07-07,1999-01-01,Senior Staff
233426,Etsuo,Usery,2065-01-12,1995-03-02,1999-01-01,Engineer
233690,Cedric,Riefers,2065-01-17,1994-09-08,1999-01-01,Engineer
